ID;Species;Interaction;Longitude;Latitude;Year_collect
182;Eulaema_meriana;host;-49.83806;-15.07789;2012
198;Eulaema_meriana;host;-74.26875;6.044667;2007
199;Eulaema_meriana;host;-74.198639;6.021694;2007
200;Eulaema_meriana;host;-74.883333;5.883333;2008
204;Eulaema_meriana;host;-61.016667;1.931667;2012
205;Eulaema_meriana;host;-78.083333;1.3;2005
215;Eulaema_meriana;host;-88.2775;15.5283;2013
226;Eulaema_meriana;host;-51.130833;-0.050556;2012
231;Eulaema_meriana;host;-88.25;15.5333;2013
250;Eulaema_meriana;host;-46.011094;-1.250261;2014
280;Eulaema_meriana;host;-48.166667;-10;2020
281;Eulaema_meriana;host;-85.5;10.75;2018
282;Eulaema_meriana;host;-85.5;10.75;2019
284;Eulaema_meriana;host;-42.341389;-3.738056;2009
285;Eulaema_meriana;host;-71.391753;-12.789882;2015
286;Eulaema_meriana;host;-48.75;-2.5;2015
287;Eulaema_meriana;host;-67.85887;-9.969939;2016
288;Eulaema_meriana;host;-67.85038;-9.953301;2016
289;Eulaema_meriana;host;-67.80673;-9.93425;2016
290;Eulaema_meriana;host;-67.79333;-9.954445;2016
291;Eulaema_meriana;host;-67.77223;-10.03375;2016
292;Eulaema_meriana;host;-67.87136;-9.955621;2016
293;Eulaema_meriana;host;-67.82921;-9.946892;2016
294;Eulaema_meriana;host;-67.8444;-9.985842;2016
295;Eulaema_meriana;host;-67.82509;-10.054265;2016
296;Eulaema_meriana;host;-67.79434;-10.039205;2016
299;Eulaema_meriana;host;-45.534;-6.3756;2013
300;Eulaema_meriana;host;-45.5358;-6.3832;2013
309;Eulaema_meriana;host;-73.474;-3.533;2008
310;Eulaema_meriana;host;-69.278;-12.278;2008
311;Eulaema_meriana;host;-65.413;-16.965;2008
312;Eulaema_meriana;host;-64.781;-17.092;2008
316;Eulaema_meriana;host;-74.003;-5.434;2008
317;Eulaema_meriana;host;-74.015;-5.515;2008
318;Eulaema_meriana;host;-76.583;-6.043;2008
319;Eulaema_meriana;host;-76.174;-6.276;2008
320;Eulaema_meriana;host;-74.569;-7.129;2008
321;Eulaema_meriana;host;-74.192;-8.09;2008
322;Eulaema_meriana;host;-74.562;-9.368;2008
323;Eulaema_meriana;host;-70.059;-12.342;2008
324;Eulaema_meriana;host;-82.95;8.783333;2004
342;Eulaema_meriana;host;-59.8675;-24.1;1990
